year,nino34,nao,amoc
1992,0.24835707650561634,0.077219977603408,14.624692641372064
1993,-0.06913215058559233,-0.2725444298341983,15.67817866235591
1994,0.32384426905034625,-0.11355093181764697,15.663070014321715
1995,0.7615149282040127,-0.1604746796326712,14.257542129370703
1996,-0.11707668736166799,0.25742200382148755,14.345928160510047
1997,-0.11706847847459027,-0.12390299469441808,14.242464771013315
1998,0.7896064077536957,0.14945657534618487,16.049391845756276
1999,0.3837173645764544,0.6030597742715956,15.183793988132903
2000,-0.23473719296747605,0.37885846335529627,15.133838901787634
2001,0.27128002179298233,-0.13176445706029022,15.457735818327324
2002,-0.23170884640623113,-0.10393136789659518,14.718298152925218
2003,-0.23286487678512843,0.136595897867174,15.12983926725989
2004,0.12098113578301706,-0.5005988121040896,14.648295421945228
2005,-0.956640122328899,-0.25862564850294384,15.562722960346932
2006,-0.8624589162565164,0.14787325443712246,14.804174723289007
2007,-0.28114376462048635,-0.037294018843645804,15.480428029889378
2008,-0.5064155601672119,0.5805408862201026,15.850305128050438
2009,0.15712366629763694,-0.18553279649531654,15.281423910793677
2010,-0.45401203776060545,-0.3140516958645172,15.772832425270655
2011,-0.7061518506676457,-0.26688527659806077,14.775093224092888
2012,0.732824384460777,0.004212161159138505,14.804748191848635
2013,-0.11288815024326783,-0.048248905849735145,15.52993591051569
2014,0.03376410234396192,0.6691078946495815,15.333540434937861
2015,-0.7123740931067284,-0.11973471555765708,14.754250428297405
2016,-0.27219136226259133,0.016333369009371556,15.23850949222886
2017,0.05546129485493304,0.2652545445585357,16.1008810411911
2018,-0.5754967887111514,-0.03239416840288017,15.167098483749074
2019,0.18784900917283598,0.16668209527554606,15.552590677359277
2020,-0.3003193449594025,0.11847199078505306,15.364435922598137
2021,-0.1458468748966384,0.25116150679418925,15.67656956175952
2022,-0.30085330611469846,-0.42236345111897317,15.77464546597243
2023,0.9261390922544689,0.24235482409047066,15.915594191062752
2024,-0.0067486123689669605,-0.041485093392303,15.900204934845181
2025,-0.5288554644779502,0.05615357560019873,16.072611194559464
